city,genre,year,decade,id,title,release_date,net,budget,revenue,vote_average
San Francisco,Documentary,2006,2000,tt0799954,The Bridge,2006-10-27,154780,25000,179780,6.9
San Francisco,Thriller,1995,1990,tt0112722,Copycat,1995-05-03,0,0,0,6.5
San Francisco,Comedy,2004,2000,tt0343660,50 First Dates,2004-02-13,121482882,75000000,196482882,6.8
San Francisco,Romance,2004,2000,tt0343660,50 First Dates,2004-02-13,121482882,75000000,196482882,6.8
San Francisco,Drama,2005,2000,tt0294870,Rent,2005-11-17,-8329380,40000000,31670620,6.9
San Francisco,Romance,2005,2000,tt0294870,Rent,2005-11-17,-8329380,40000000,31670620,6.9
San Francisco,Comedy,1967,1960,tt0061735,Guess Who's Coming to Dinner,1967-12-11,52666667,4000000,56666667,7.7
San Francisco,Drama,1967,1960,tt0061735,Guess Who's Coming to Dinner,1967-12-11,52666667,4000000,56666667,7.7
San Francisco,Romance,1967,1960,tt0061735,Guess Who's Coming to Dinner,1967-12-11,52666667,4000000,56666667,7.7
San Francisco,Drama,2001,2000,tt0230838,Sweet November,2001-02-16,25754228,40000000,65754228,6.7
San Francisco,Romance,2001,2000,tt0230838,Sweet November,2001-02-16,25754228,40000000,65754228,6.7
San Francisco,Science Fiction,1978,1970,tt0078346,Superman,1978-12-13,245218018,55000000,300218018,7.1
San Francisco,Action,1978,1970,tt0078346,Superman,1978-12-13,245218018,55000000,300218018,7.1
San Francisco,Adventure,1978,1970,tt0078346,Superman,1978-12-13,245218018,55000000,300218018,7.1
San Francisco,Action,2003,2000,tt0286716,Hulk,2003-06-19,108360480,137000000,245360480,5.5
San Francisco,Science Fiction,2003,2000,tt0286716,Hulk,2003-06-19,108360480,137000000,245360480,5.5
San Francisco,Crime,2007,2000,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Drama,2007,2000,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Mystery,2007,2000,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Thriller,2007,2000,tt0443706,Zodiac,2007-03-02,19785914,65000000,84785914,7.5
San Francisco,Music,1992,1990,tt0105417,Sister Act,1992-05-28,200605150,31000000,231605150,6.7
San Francisco,Comedy,1992,1990,tt0105417,Sister Act,1992-05-28,200605150,31000000,231605150,6.7
